frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.118","209.18.47.62","DNS","89","Standard query 0xec5e A connectivitycheck.gstatic.com"
"2","0.000180919","192.168.1.118","209.18.47.62","DNS","89","Standard query 0x3a5c AAAA connectivitycheck.gstatic.com"
"3","0.024849045","209.18.47.62","192.168.1.118","DNS","105","Standard query response 0xec5e A connectivitycheck.gstatic.com A 172.217.10.131"
"4","0.028314454","209.18.47.62","192.168.1.118","DNS","117","Standard query response 0x3a5c AAAA connectivitycheck.gstatic.com AAAA 2607:f8b0:4006:812::2003"
"5","0.028787358","192.168.1.118","172.217.10.131","TCP","74","33714 → 443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=26102786 TSecr=0 WS=128"
"6","0.048861298","172.217.10.131","192.168.1.118","TCP","74","443 → 33714 [SYN, ACK] Seq=0 Ack=1 Win=60192 Len=0 MSS=1380 SACK_PERM=1 TSval=89987581 TSecr=26102786 WS=256"
"7","0.048975127","192.168.1.118","172.217.10.131","TCP","66","33714 → 443 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=26102806 TSecr=89987581"
"8","0.049601099","192.168.1.118","172.217.10.131","TLSv1","254","Client Hello"
"9","0.079542322","172.217.10.131","192.168.1.118","TCP","66","443 → 33714 [ACK] Seq=1 Ack=189 Win=61440 Len=0 TSval=89987612 TSecr=26102806"
"10","0.086620907","172.217.10.131","192.168.1.118","TLSv1.2","1484","Server Hello"
"11","0.086733511","192.168.1.118","172.217.10.131","TCP","66","33714 → 443 [ACK] Seq=189 Ack=1419 Win=32128 Len=0 TSval=26102844 TSecr=89987618"
"12","0.090862255","172.217.10.131","192.168.1.118","TLSv1.2","1279","Certificate, Server Key Exchange, Server Hello Done"
"13","0.090943758","192.168.1.118","172.217.10.131","TCP","66","33714 → 443 [ACK] Seq=189 Ack=2632 Win=34944 Len=0 TSval=26102848 TSecr=89987618"
"14","0.093645390","192.168.1.118","172.217.10.131","TLSv1.2","151","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"15","0.114269412","172.217.10.131","192.168.1.118","TLSv1.2","109","Change Cipher Spec, Encrypted Handshake Message"
"16","0.114872533","192.168.1.118","172.217.10.131","TLSv1.2","283","Application Data"
"17","0.148952738","172.217.10.131","192.168.1.118","TLSv1.2","427","Application Data"
"18","0.150201782","192.168.1.118","172.217.10.131","TLSv1.2","89","Encrypted Alert"
"19","0.150370051","192.168.1.118","172.217.10.131","TCP","66","33714 → 443 [FIN, ACK] Seq=514 Ack=3036 Win=37760 Len=0 TSval=26102907 TSecr=89987681"
"20","0.166129227","172.217.10.131","192.168.1.118","TCP","66","443 → 33714 [FIN, ACK] Seq=3036 Ack=515 Win=62464 Len=0 TSval=89987697 TSecr=26102907"
"21","0.166233093","192.168.1.118","172.217.10.131","TCP","66","33714 → 443 [ACK] Seq=515 Ack=3037 Win=37760 Len=0 TSval=26102923 TSecr=89987697"
"22","2.622950888","192.168.1.118","192.168.1.102","TCP","176","38457 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=364 Len=110 TSval=26105380 TSecr=5201192 [TCP segment of a reassembled PDU]"
"23","2.626735907","192.168.1.102","192.168.1.118","TCP","176","8009 → 38457 [PSH, ACK] Seq=1 Ack=111 Win=287 Len=110 TSval=5201693 TSecr=26105380 [TCP segment of a reassembled PDU]"
"24","2.626837774","192.168.1.118","192.168.1.102","TCP","66","38457 → 8009 [ACK] Seq=111 Ack=111 Win=364 Len=0 TSval=26105384 TSecr=5201693"
"25","2.639040388","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"26","3.248471467","192.168.1.102","224.0.0.251","MDNS","183","Standard query response 0x0000 SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local"
"27","3.968378326","142.250.31.188","192.168.1.118","TLSv1.2","517","Application Data"
"28","3.968473254","192.168.1.118","142.250.31.188","TCP","66","33250 → 443 [ACK] Seq=1 Ack=452 Win=1416 Len=0 TSval=26106725 TSecr=2986394816"
"29","4.757958510","192.168.1.118","172.253.122.188","TLSv1.2","99","Application Data"
"30","4.784501314","172.253.122.188","192.168.1.118","TCP","66","5228 → 46042 [ACK] Seq=1 Ack=34 Win=248 Len=0 TSval=3460684032 TSecr=26107515"
"31","4.797947234","172.253.122.188","192.168.1.118","TLSv1.2","99","Application Data"
"32","4.798301247","192.168.1.118","172.253.122.188","TLSv1.2","109","Application Data"
"33","4.829201166","172.253.122.188","192.168.1.118","TCP","66","5228 → 46042 [ACK] Seq=34 Ack=77 Win=248 Len=0 TSval=3460684079 TSecr=26107555"
"34","5.710430920","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"35","7.629403044","192.168.1.118","192.168.1.102","TCP","176","38457 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=364 Len=110 TSval=26110386 TSecr=5201693 [TCP segment of a reassembled PDU]"
"36","7.633262954","192.168.1.102","192.168.1.118","TCP","176","8009 → 38457 [PSH, ACK] Seq=111 Ack=221 Win=287 Len=110 TSval=5202194 TSecr=26110386 [TCP segment of a reassembled PDU]"
"37","7.633369233","192.168.1.118","192.168.1.102","TCP","66","38457 → 8009 [ACK] Seq=221 Ack=221 Win=364 Len=0 TSval=26110390 TSecr=5202194"
"38","8.679571361","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
