frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.118","104.17.138.15","TLSv1.2","358","Application Data"
"2","0.044189100","104.17.138.15","192.168.1.118","TCP","1514","[TCP segment of a reassembled PDU]"
"3","0.044262813","192.168.1.118","104.17.138.15","TCP","54","39394 → 443 [ACK] Seq=305 Ack=1461 Win=1121 Len=0"
"4","0.049654863","104.17.138.15","192.168.1.118","TLSv1.2","2852","Application Data"
"5","0.049716888","192.168.1.118","104.17.138.15","TCP","54","39394 → 443 [ACK] Seq=305 Ack=4259 Win=1164 Len=0"
"6","0.049763163","104.17.138.15","192.168.1.118","TLSv1.2","2024","Application Data"
"7","0.049783038","192.168.1.118","104.17.138.15","TCP","54","39394 → 443 [ACK] Seq=305 Ack=6229 Win=1195 Len=0"
"8","0.049797875","104.17.138.15","192.168.1.118","TLSv1.2","88","Application Data"
"9","0.086785175","192.168.1.118","104.17.138.15","TLSv1.2","350","Application Data"
"10","0.086939075","192.168.1.118","104.17.138.15","TCP","54","39396 → 443 [ACK] Seq=1 Ack=1 Win=419 Len=0"
"11","0.089918050","192.168.1.118","104.17.138.15","TCP","54","39394 → 443 [ACK] Seq=305 Ack=6263 Win=1195 Len=0"
"12","0.097147625","192.168.1.118","152.195.19.97","TLSv1.2","93","Application Data"
"13","0.097704400","192.168.1.118","152.195.19.97","TLSv1.2","78","Application Data"
"14","0.122010038","152.195.19.97","192.168.1.118","TCP","54","443 → 39270 [ACK] Seq=1 Ack=65 Win=139 Len=0"
"15","0.124068400","152.195.19.97","192.168.1.118","TLSv1.2","78","Application Data"
"16","0.124141900","192.168.1.118","152.195.19.97","TCP","54","39270 → 443 [RST] Seq=65 Win=0 Len=0"
"17","0.124186138","152.195.19.97","192.168.1.118","TCP","54","443 → 39270 [FIN, ACK] Seq=25 Ack=65 Win=139 Len=0"
"18","0.124204225","192.168.1.118","152.195.19.97","TCP","54","39270 → 443 [RST] Seq=65 Win=0 Len=0"
"19","0.136093175","104.17.138.15","192.168.1.118","TLSv1.2","1452","Application Data"
"20","0.138633575","104.17.138.15","192.168.1.118","TLSv1.2","1452","Application Data"
"21","0.138693163","104.17.138.15","192.168.1.118","TLSv1.2","2850","Application Data, Application Data"
"22","0.138711450","104.17.138.15","192.168.1.118","TLSv1.2","1514","Application Data"
"23","0.138758838","104.17.138.15","192.168.1.118","TLSv1.2","4250","Application Data"
"24","0.138814600","104.17.138.15","192.168.1.118","TLSv1.2","12828","Application Data, Application Data, Application Data"
"25","0.142534813","104.17.138.15","192.168.1.118","TLSv1.2","5894","Application Data"
"26","0.142643675","104.17.138.15","192.168.1.118","TLSv1.2","4466","Application Data, Application Data, Application Data"
"27","0.150647988","192.168.1.118","151.101.65.69","TLSv1.2","112","Application Data"
"28","0.160287250","192.168.1.118","104.17.138.15","TCP","54","39398 → 443 [ACK] Seq=297 Ack=34275 Win=501 Len=0"
"29","0.175558038","151.101.65.69","192.168.1.118","TLSv1.2","112","Application Data"
